open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_buy_base,taker_buy_quote,ignore
1746140400000,1838.71000000,1840.94000000,1833.50000000,1838.69000000,4289.02190000,1746142199999,7879238.57965300,28886,2180.12220000,4004683.39725200,0
1746142200000,1838.69000000,1839.90000000,1834.14000000,1838.11000000,2271.71350000,1746143999999,4172715.20606300,25220,963.43260000,1769758.12682900,0
1746144000000,1838.10000000,1847.40000000,1835.10000000,1847.09000000,6585.29340000,1746145799999,12122893.24271300,46266,3940.00040000,7254157.62218900,0
1746145800000,1847.10000000,1850.61000000,1840.76000000,1847.75000000,4390.63350000,1746147599999,8105194.28927200,42040,2314.73380000,4273499.88932900,0
1746147600000,1847.75000000,1851.30000000,1845.16000000,1845.40000000,6001.25370000,1746149399999,11092684.53160500,46213,3052.18680000,5641308.20188100,0
1746149400000,1845.40000000,1845.59000000,1839.00000000,1842.72000000,4980.77800000,1746151199999,9177419.36184200,40475,2108.75800000,3885528.24236600,0
1746151200000,1842.71000000,1849.34000000,1839.20000000,1848.06000000,3816.82480000,1746152999999,7035652.06277000,39860,2381.29870000,4389999.15898200,0
1746153000000,1848.07000000,1849.75000000,1846.11000000,1846.80000000,3520.55250000,1746154799999,6505677.35242400,27794,1520.86300000,2810758.79013800,0
1746154800000,1846.81000000,1850.40000000,1843.80000000,1845.62000000,3941.76390000,1746156599999,7280824.50443700,29953,2078.15860000,3838110.55686800,0
1746156600000,1845.63000000,1850.77000000,1845.62000000,1847.74000000,3201.45480000,1746158399999,5917607.70604800,30026,1999.09530000,3695068.76863800,0
1746158400000,1847.74000000,1851.79000000,1845.46000000,1845.86000000,5976.63600000,1746160199999,11045984.32068600,37423,3764.97830000,6958551.30473800,0
1746160200000,1845.85000000,1845.86000000,1839.40000000,1841.49000000,5606.84380000,1746161999999,10327570.61002300,34041,3003.52990000,5531796.42957800,0
1746162000000,1841.50000000,1844.20000000,1835.41000000,1837.81000000,9347.14020000,1746163799999,17184114.62598800,39822,6123.73180000,11257307.14530900,0
1746163800000,1837.81000000,1839.40000000,1828.96000000,1832.10000000,10803.52180000,1746165599999,19810163.56366300,41928,4231.54120000,7758547.32829900,0
1746165600000,1832.10000000,1836.06000000,1828.48000000,1835.78000000,8475.27260000,1746167399999,15525390.05176600,43084,4278.31930000,7838720.63951300,0
1746167400000,1835.78000000,1837.40000000,1829.30000000,1832.23000000,8448.41900000,1746169199999,15493219.65403200,41699,2877.91020000,5276976.90083700,0
1746169200000,1832.24000000,1832.24000000,1818.80000000,1823.00000000,18200.31820000,1746170999999,33191940.51106200,76572,7625.52960000,13907779.58192200,0
1746171000000,1823.00000000,1824.35000000,1816.22000000,1816.32000000,10341.90210000,1746172799999,18814389.60308500,49463,3953.17210000,7191512.64695500,0
