open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_buy_base,taker_buy_quote,ignore
1746057600000,5.03900000,5.09500000,5.03400000,5.07600000,17370.70000000,1746061199999,87800.60602000,470,6085.18000000,30794.88664000,0
1746061200000,5.07900000,5.11800000,5.04700000,5.04700000,10742.00000000,1746064799999,54678.75634000,440,5160.38000000,26260.08865000,0
1746064800000,5.05400000,5.06000000,5.00100000,5.00500000,11524.89000000,1746068399999,57985.93732000,718,4961.24000000,24995.73195000,0
1746068400000,5.00600000,5.02100000,4.94800000,4.95200000,8680.77000000,1746071999999,43273.82377000,528,4162.11000000,20756.80341000,0
1746072000000,4.95300000,4.97200000,4.93200000,4.96600000,8076.97000000,1746075599999,39971.44600000,501,4705.37000000,23305.64801000,0
1746075600000,4.96900000,5.00100000,4.96200000,4.98800000,4904.46000000,1746079199999,24422.86008000,276,2386.50000000,11888.57028000,0
1746079200000,4.98600000,5.00300000,4.97500000,4.99100000,4380.30000000,1746082799999,21841.75438000,273,1946.59000000,9706.90482000,0
1746082800000,4.98800000,5.10200000,4.98100000,5.04000000,27666.62000000,1746086399999,139431.70560000,1644,17553.03000000,88534.38692000,0
1746086400000,5.03400000,5.06000000,5.00500000,5.05400000,16049.26000000,1746089999999,80865.04315000,1097,6841.75000000,34466.45715000,0
1746090000000,5.05400000,5.10000000,5.04300000,5.06600000,20933.77000000,1746093599999,106238.69090000,794,7374.27000000,37446.01102000,0
1746093600000,5.06800000,5.11400000,5.06400000,5.08600000,15848.74000000,1746097199999,80724.16530000,719,9580.77000000,48812.53038000,0
1746097200000,5.09000000,5.12800000,5.06100000,5.10700000,12812.13000000,1746100799999,65320.47624000,525,8564.14000000,43661.21499000,0
1746100800000,5.10900000,5.13000000,5.08100000,5.11100000,16317.66000000,1746104399999,83276.73463000,613,8807.76000000,44953.65258000,0
1746104400000,5.11300000,5.15800000,5.03900000,5.04200000,31543.63000000,1746107999999,161034.53582000,1596,15371.57000000,78585.39119000,0
1746108000000,5.04100000,5.13200000,5.04100000,5.12000000,22224.53000000,1746111599999,113021.32906000,1280,12427.71000000,63187.96510000,0
1746111600000,5.12500000,5.22000000,5.11700000,5.12900000,31666.42000000,1746115199999,163618.58136000,1234,17439.50000000,90202.67395000,0
1746115200000,5.12700000,5.19900000,5.12700000,5.12800000,15053.05000000,1746118799999,77654.90987000,579,5000.78000000,25786.29876000,0
1746118800000,5.12900000,5.17600000,5.07300000,5.10200000,15142.05000000,1746122399999,77479.31550000,712,4785.57000000,24490.96752000,0
1746122400000,5.10100000,5.13800000,5.08100000,5.13500000,8164.18000000,1746125999999,41654.08793000,453,5111.06000000,26067.15652000,0
