open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_buy_base,taker_buy_quote,ignore
1746057600000,5.03900000,5.07500000,5.03400000,5.04600000,15604.12000000,1746059399999,78837.02284000,373,5123.86000000,25915.50882000,0
1746059400000,5.04700000,5.09500000,5.04500000,5.07600000,1766.58000000,1746061199999,8963.58318000,97,961.32000000,4879.37782000,0
1746061200000,5.07900000,5.11800000,5.07900000,5.09700000,6617.56000000,1746062999999,33758.40831000,269,2740.03000000,13982.63672000,0
1746063000000,5.08500000,5.09100000,5.04700000,5.04700000,4124.44000000,1746064799999,20920.34803000,171,2420.35000000,12277.45193000,0
1746064800000,5.05400000,5.05900000,5.01300000,5.05900000,6120.25000000,1746066599999,30843.45959000,486,3475.61000000,17519.25948000,0
1746066600000,5.05900000,5.06000000,5.00100000,5.00500000,5404.64000000,1746068399999,27142.47773000,232,1485.63000000,7476.47247000,0
1746068400000,5.00600000,5.02100000,4.98800000,4.99400000,3602.59000000,1746070199999,18041.20591000,207,1670.04000000,8372.63918000,0
1746070200000,4.99300000,5.00400000,4.94800000,4.95200000,5078.18000000,1746071999999,25232.61786000,321,2492.07000000,12384.16423000,0
1746072000000,4.95300000,4.96400000,4.93500000,4.93900000,4003.49000000,1746073799999,19805.11503000,251,1845.48000000,9135.07176000,0
1746073800000,4.93500000,4.97200000,4.93200000,4.96600000,4073.48000000,1746075599999,20166.33097000,250,2859.89000000,14170.57625000,0
1746075600000,4.96900000,4.99000000,4.96200000,4.98600000,3549.89000000,1746077399999,17663.39278000,184,1699.65000000,8459.95686000,0
1746077400000,4.98700000,5.00100000,4.98100000,4.98800000,1354.57000000,1746079199999,6759.46730000,92,686.85000000,3428.61342000,0
1746079200000,4.98600000,5.00000000,4.97900000,4.99300000,1994.13000000,1746080999999,9943.29025000,140,937.72000000,4675.95726000,0
1746081000000,4.99300000,5.00300000,4.97500000,4.99100000,2386.17000000,1746082799999,11898.46413000,133,1008.87000000,5030.94756000,0
1746082800000,4.98800000,5.01300000,4.98100000,5.00500000,2887.94000000,1746084599999,14444.32322000,136,1438.57000000,7196.69712000,0
1746084600000,5.00200000,5.10200000,5.00000000,5.04000000,24778.68000000,1746086399999,124987.38238000,1508,16114.46000000,81337.68980000,0
1746086400000,5.03400000,5.04500000,5.00500000,5.04300000,6760.82000000,1746088199999,34000.41677000,450,2988.44000000,15026.87313000,0
1746088200000,5.04800000,5.06000000,5.02800000,5.05400000,9288.44000000,1746089999999,46864.62638000,647,3853.31000000,19439.58402000,0
1746090000000,5.05400000,5.08600000,5.04800000,5.08100000,4122.54000000,1746091799999,20905.29232000,154,2995.91000000,15187.28290000,0
1746091800000,5.08400000,5.10000000,5.04300000,5.06600000,16811.23000000,1746093599999,85333.39858000,640,4378.36000000,22258.72812000,0
1746093600000,5.06800000,5.10700000,5.06800000,5.10300000,8287.02000000,1746095399999,42220.31588000,416,5365.85000000,27337.64917000,0
1746095400000,5.10700000,5.11400000,5.06400000,5.08600000,7561.72000000,1746097199999,38503.84942000,303,4214.92000000,21474.88121000,0
1746097200000,5.09000000,5.10400000,5.06100000,5.06300000,4907.57000000,1746098999999,25008.08148000,198,2834.84000000,14448.17325000,0
1746099000000,5.06700000,5.12800000,5.06700000,5.10700000,7904.56000000,1746100799999,40312.39476000,327,5729.30000000,29213.04174000,0
1746100800000,5.10900000,5.13000000,5.09100000,5.09100000,13270.75000000,1746102599999,67734.43156000,424,7625.66000000,38920.66190000,0
