open_time,open,high,low,close,volume,close_time,quote_asset_vol,num_trades,taker_buy_base,taker_buy_quote,ignore
1743548400000,126.77000000,127.19000000,126.14000000,127.15000000,34889.81800000,1743550199999,4422046.80358000,14711,22732.37600000,2882748.05225000,0
1743550200000,127.15000000,127.53000000,126.61000000,126.67000000,26513.67100000,1743551999999,3369234.68286000,12961,16697.64200000,2122050.92059000,0
1743552000000,126.68000000,126.82000000,126.17000000,126.19000000,34162.07000000,1743553799999,4321892.62140000,22116,19770.23100000,2501661.91517000,0
1743553800000,126.19000000,126.96000000,126.03000000,126.22000000,35813.84900000,1743555599999,4532702.65511000,23801,21365.99000000,2704300.97363000,0
1743555600000,126.22000000,126.24000000,125.40000000,125.63000000,52627.18000000,1743557399999,6613535.51804000,32693,22844.94500000,2871037.61776000,0
1743557400000,125.63000000,126.21000000,125.44000000,125.69000000,35338.66300000,1743559199999,4443009.43720000,21746,18529.31900000,2330644.25192000,0
1743559200000,125.70000000,125.78000000,124.10000000,124.60000000,88904.11400000,1743560999999,11080849.24078000,46151,36454.37600000,4541355.41755000,0
1743561000000,124.59000000,125.13000000,124.23000000,124.76000000,41453.01800000,1743562799999,5167806.85407000,22817,22973.06400000,2864160.48409000,0
1743562800000,124.76000000,125.36000000,124.67000000,124.85000000,29794.27500000,1743564599999,3723166.74555000,16945,16079.88300000,2009656.50818000,0
1743564600000,124.85000000,124.99000000,124.22000000,124.32000000,42283.43200000,1743566399999,5265229.87100000,21158,19712.39400000,2455019.35465000,0
1743566400000,124.32000000,125.03000000,124.21000000,124.85000000,25648.81800000,1743568199999,3195573.01360000,16265,14668.77800000,1827697.88942000,0
1743568200000,124.85000000,125.00000000,124.45000000,124.89000000,32719.25000000,1743569999999,4079942.87575000,17432,18473.66200000,2304403.95280000,0
1743570000000,124.90000000,124.90000000,123.69000000,123.82000000,65094.11800000,1743571799999,8078254.94927000,31371,19023.77700000,2361297.34903000,0
1743571800000,123.81000000,124.17000000,123.50000000,123.75000000,41817.32200000,1743573599999,5179169.23112000,24630,19196.44500000,2377488.20681000,0
1743573600000,123.75000000,124.36000000,123.70000000,124.32000000,36764.25800000,1743575399999,4560073.90603000,21395,16502.07300000,2046642.83462000,0
1743575400000,124.32000000,124.60000000,123.98000000,124.04000000,30930.96300000,1743577199999,3843783.43553000,19958,15189.69400000,1887602.71806000,0
1743577200000,124.04000000,124.44000000,123.93000000,124.05000000,23521.92600000,1743578999999,2920805.68651000,17072,12503.73600000,1552566.66582000,0
1743579000000,124.06000000,124.84000000,123.95000000,124.55000000,59391.23200000,1743580799999,7392588.13281000,30330,30914.71200000,3848238.30050000,0
1743580800000,124.54000000,125.67000000,124.28000000,125.55000000,65815.12200000,1743582599999,8226882.47471000,27014,36633.37800000,4579681.00690000,0
1743582600000,125.55000000,125.84000000,125.11000000,125.45000000,47063.98800000,1743584399999,5904327.03378000,22632,24549.91100000,3080418.18206000,0
1743584400000,125.45000000,126.73000000,125.32000000,125.94000000,73107.62200000,1743586199999,9219671.46779000,38266,33875.47100000,4272228.38060000,0
1743586200000,125.94000000,126.21000000,125.40000000,126.04000000,40906.11200000,1743587999999,5145025.32326000,21718,21175.37500000,2663407.27353000,0
1743588000000,126.04000000,126.49000000,125.70000000,125.99000000,35478.30400000,1743589799999,4474455.94866000,25275,16418.48400000,2070140.19629000,0
1743589800000,125.99000000,125.99000000,125.46000000,125.73000000,25844.18500000,1743591599999,3250951.32522000,15233,9329.98800000,1173566.77682000,0
1743591600000,125.74000000,126.32000000,125.64000000,125.97000000,28214.24400000,1743593399999,3555404.65455000,16251,13585.62900000,1711664.22756000,0
1743593400000,125.97000000,126.21000000,125.65000000,125.69000000,27491.61900000,1743595199999,3462323.92517000,14359,8005.60800000,1008276.31566000,0
1743595200000,125.70000000,126.02000000,125.12000000,125.16000000,58904.64200000,1743596999999,7398703.36317000,27183,30239.96700000,3798463.39500000,0
1743597000000,125.16000000,126.80000000,125.15000000,126.60000000,56468.01300000,1743598799999,7110829.90523000,25927,35863.18100000,4517595.39114000,0
1743598800000,126.61000000,126.71000000,125.58000000,125.61000000,40144.86900000,1743600599999,5061557.35192000,27246,15592.95700000,1965342.69689000,0
1743600600000,125.61000000,127.93000000,125.16000000,126.22000000,121643.06200000,1743602399999,15440070.96109000,78780,61209.32400000,7770320.56720000,0
1743602400000,126.21000000,127.48000000,126.14000000,126.91000000,86724.45400000,1743604199999,11002539.65560000,55593,46095.54500000,5848403.70138000,0
1743604200000,126.91000000,128.13000000,126.45000000,127.71000000,76069.80000000,1743605999999,9678717.69974000,42114,41378.25900000,5266989.22221000,0
1743606000000,127.71000000,129.62000000,127.61000000,128.95000000,239896.27800000,1743607799999,30927684.24943000,96396,138592.76100000,17868161.99274000,0
1743607800000,128.94000000,131.16000000,128.93000000,130.43000000,779365.28000000,1743609599999,101389164.12273000,298575,393789.05700000,51233820.24774000,0
1743609600000,130.43000000,131.79000000,130.43000000,131.01000000,186603.31500000,1743611399999,24487856.42636000,93251,97508.30600000,12797304.89574000,0
1743611400000,131.02000000,131.48000000,129.77000000,131.15000000,161352.87700000,1743613199999,21084678.59269000,54421,83603.70300000,10925597.10365000,0
1743613200000,131.15000000,131.52000000,130.15000000,130.15000000,154247.68800000,1743614999999,20207669.51705000,86347,71618.64100000,9384770.24149000,0
1743615000000,130.14000000,130.33000000,129.27000000,129.67000000,147096.90700000,1743616799999,19087610.23640000,60525,66827.01000000,8670863.71590000,0
1743616800000,129.66000000,129.98000000,129.17000000,129.39000000,47158.97900000,1743618599999,6108690.52663000,28982,20460.09100000,2650438.06571000,0
1743618600000,129.39000000,130.31000000,129.36000000,130.00000000,47320.51400000,1743620399999,6147040.34512000,27834,23653.77400000,3073042.54195000,0
